Resolution	ChrNr	START	END	meanS_Euclidean
40000	6	65720000	85720000	1.971068579994177
40000	4	15960000	35960000	1.9678577872813479
40000	12	111160000	131160000	1.9576527933487486
40000	20	16840000	39000000	1.9574478911879234
40000	20	43720000	63720000	1.9548946465609234
40000	10	34840000	56880000	1.9546860066660754
40000	20	43960000	63960000	1.9535131008001
40000	6	65480000	85480000	1.9530224423022988
40000	2	65280000	85280000	1.9456314695490882
40000	4	141880000	161880000	1.9433915601004113
40000	20	39400000	59400000	1.9428583581655259
40000	20	41080000	61080000	1.9294706789771763
40000	10	29080000	51120000	1.9286955085533801
40000	20	43240000	63240000	1.9252760176667876
40000	14	29760000	49760000	1.9203569762777477
40000	14	28080000	48080000	1.9198924522614174
40000	10	29320000	51360000	1.9196184179460836
40000	2	63840000	83840000	1.9182085406725493
40000	20	42280000	62280000	1.9130366663365532
40000	20	44200000	64200000	1.9105915531252524
40000	6	133640000	153640000	1.9013171073965136
40000	6	55360000	77080000	1.8983578471127842
40000	6	54400000	76120000	1.8934151460377857
40000	4	12360000	32360000	1.890388654557712
40000	6	54160000	75880000	1.8888803789448743
40000	10	34600000	56640000	1.8640000889029567
40000	20	43000000	63000000	1.863269266838887
40000	4	136120000	156120000	1.8614922619834129
40000	14	52080000	72080000	1.8584598290154979
40000	4	15720000	35720000	1.8578856809703284
40000	6	54640000	76360000	1.8566634266779964
40000	4	138040000	158040000	1.851777868242241
40000	14	52320000	72320000	1.848737221961186
40000	4	139240000	159240000	1.8461689046138368
40000	20	42760000	62760000	1.8440911666046207
40000	4	14040000	34040000	1.8428032278798805
40000	10	38680000	60720000	1.842010321044226
40000	10	43040000	63120000	1.8400033116215155
40000	6	123800000	143800000	1.8390661825958283
40000	10	28840000	50880000	1.8379079468054478
40000	14	52560000	72560000	1.8371156419789525
40000	6	54880000	76600000	1.8362431655550786
40000	6	11160000	31200000	1.835391144641213
40000	6	55120000	76840000	1.8341717475033805
40000	20	35560000	55560000	1.8329661517889928
40000	20	35320000	55320000	1.8314221455283441
40000	6	11400000	31440000	1.8281466417666703
40000	20	36520000	56520000	1.8241374996478976
40000	6	10440000	30480000	1.82328479744538
40000	14	52800000	72800000	1.8218926496206589
40000	20	42520000	62520000	1.8141446309207068
40000	14	27840000	47840000	1.8104642276122356
40000	2	128000000	148040000	1.810066535840005
