Resolution	ChrNr	START	END	meanS_Euclidean
40000	14	93600000	102480000	1.5364226244145325
40000	2	165960000	189960000	1.534590106990634
40000	10	102640000	115800000	1.5341311578513463
40000	14	93840000	102720000	1.5338469113882136
40000	2	164520000	188520000	1.5337542706012346
40000	2	169320000	193320000	1.5324882794327317
40000	6	14760000	31680000	1.5305293311331996
40000	20	36280000	42480000	1.526426946833421
40000	18	59520000	67040000	1.5257072700466496
40000	6	18600000	35520000	1.5247059973532837
40000	14	94080000	102960000	1.5229886414519305
40000	6	38080000	54960000	1.5210289179431395
40000	2	163800000	187800000	1.5198290746207406
40000	8	160000	14720000	1.516999615881664
40000	X	51680000	70680000	1.5148710652160862
40000	18	59760000	67280000	1.5143480348608584
40000	4	5040000	23960000	1.5142747236836014
40000	18	61680000	69200000	1.5136417044703732
40000	4	38040000	58880000	1.5118657277022087
40000	X	29160000	44400000	1.5105465537372023
40000	20	25240000	33600000	1.5091850290937423
40000	4	35880000	56720000	1.5055402517245176
40000	10	111760000	124920000	1.5052017116470744
40000	2	166680000	190680000	1.5043992326759745
40000	X	78280000	93360000	1.5033112500617472
40000	18	49920000	57440000	1.5025364626511257
40000	12	29040000	42400000	1.4998574716961939
40000	14	24000000	32880000	1.4979844521596555
40000	12	102280000	115600000	1.4976790361660408
40000	20	24280000	32640000	1.4966780879528452
40000	6	58000000	76600000	1.4965917773765043
40000	12	99400000	112720000	1.4961864499943627
40000	2	166440000	190440000	1.4961602085806447
40000	6	14520000	31440000	1.4944549717442406
40000	14	43920000	52800000	1.4929231137508048
40000	6	51520000	70120000	1.4928216457351926
40000	2	213960000	237960000	1.4925818489193976
40000	12	27360000	40720000	1.4912156996944805
40000	X	51920000	70920000	1.4900507082961785
40000	10	80560000	93720000	1.4897768948362098
40000	10	112960000	126120000	1.4889823839841139
40000	X	33960000	49200000	1.487852231788042
40000	14	85680000	94560000	1.4877466732716182
40000	6	18840000	35760000	1.4874933530648666
40000	8	130240000	144600000	1.4858177745475256
40000	10	101920000	115080000	1.4854888724730104
40000	10	111520000	124680000	1.484208955681772
40000	X	84040000	99120000	1.4835719547356685
40000	6	33520000	50400000	1.483353712739394
40000	X	78040000	93120000	1.4826365437013145
40000	10	114880000	128040000	1.4792658845394362
40000	X	86200000	101280000	1.4790282367849457
40000	6	14280000	31200000	1.4771577986954314
40000	4	35640000	56480000	1.475872289860642
40000	X	33720000	48960000	1.4755835123376864
40000	20	36040000	42240000	1.4747264978669803
40000	8	30600000	45880000	1.4743920113751026
40000	2	163560000	187560000	1.4742115370635018
40000	14	85920000	94800000	1.4696651671877055
40000	12	29280000	42640000	1.467986874034741
40000	8	14280000	28640000	1.4664398449769032
40000	14	93360000	102240000	1.462770689456341
40000	18	28320000	35840000	1.4604774323590641
40000	18	43920000	51440000	1.4584233570704634
40000	18	10120000	22640000	1.4534781982327054
40000	X	34920000	50440000	1.4532772384468966
40000	X	51440000	70440000	1.4517438353757157
40000	6	14040000	30960000	1.4512921446734115
40000	10	112000000	125160000	1.4497314630999971
40000	6	58240000	76840000	1.449077113339557
40000	18	51360000	58880000	1.4479786412843982
40000	X	82600000	97680000	1.4457897964465845
40000	10	103360000	116520000	1.4439381939924385
40000	18	11560000	24080000	1.4424967571858982
40000	18	47520000	55040000	1.4417664911171073
40000	20	36520000	42720000	1.4417516054345716
40000	2	169560000	193560000	1.440577557721018
40000	6	19080000	36000000	1.4366924481277277
40000	X	99400000	114560000	1.4364959378072875
40000	2	160680000	184680000	1.4349559904054272
40000	10	35560000	50760000	1.4331498561942932
40000	4	38280000	59160000	1.429535322568962
40000	8	65160000	79520000	1.429338476149387
40000	6	115640000	132520000	1.4270204913024098
40000	6	51280000	69880000	1.4240517540487503
40000	12	29520000	42880000	1.4229160466263453
40000	4	5280000	24200000	1.422614289906705
40000	X	37960000	53360000	1.422598971205625
40000	X	51200000	70200000	1.4224318861707312
40000	12	30240000	43600000	1.4211188589561168
40000	12	30480000	43840000	1.4210738660569957
40000	X	52160000	71160000	1.419363660640717
